What is an widget?,"According to the provided context, a widget is ""a grid where you can see your plan data"" within a Tab or Page.",positive
What is an widget?,"According to the provided context, a widget is:

""Widgets: Each Tab or Page may contain Widgets within, including a grid where you can see your plan data.""

So, an o9 widget refers to a grid or a display area within a tab or page that shows plan data.",positive
What is an widget?,"According to the provided context, a widget is described as ""Each Tab or Page may contain Widgets within, including a grid where you can see your plan data."" It appears that widgets are components that can be added to tabs or pages within a planning interface, and they allow users to view and manipulate their plan data.",positive
How can I do seeding in class plan for LY?,"I see multiple FAQs that might be relevant to this question!

Based on the provided context, here's my answer:

You can seed all your classes with LY at one time by selecting multiple classes in your Seed Plan Action Button Parameters. This is true for parent/child relationships at any level of the hierarchy (e.g., all classes in a department, departments in a division, divisions in a brand, etc.).

Additionally, you can also choose to seed from LY/LLY/LLLY/AVG3LY of a Like Class in the Seed Plan action button.

Note that there's no mention of specific requirements or limitations for seeding plans with LY data. However, it's worth noting that when seeding from a like class, it is seeding from the plan time frame (WP), not the LY of the like class itself.",negative
how do you seed a class plan from LY?,"According to Tips & Tricks - FAQ 2 and FAQ 3, you can seed multiple classes at once by selecting multiple classes in your Seed Plan Action Button Parameters. You can also choose to seed from LY/LLY/LLLY/AVG3LY of a Like Class in the Seed Plan action button.

Additionally, according to Tips & Tricks - FAQ 4, if you're copying LY data into a plan and the LY data has not fully actualized yet, there is no indication what happens. The answer simply states ""The only measures that do not seed are RTV & Inv Adj.""",positive
how do you seed a class plan from LY?,"According to the provided context, you can seed multiple classes with LY data at one time by selecting multiple classes in your Seed Plan Action Button Parameters. Additionally, you can also seed a class plan from LY/LLY/LLLY/AVG3LY of a Like Class in the Seed Plan action button.

So, to answer your question: You can seed a class plan from LY by:

1. Selecting multiple classes (including parent/child relationships) at one time using the Seed Plan Action Button Parameters.
2. Choosing LY/LLY/LLLY/AVG3LY of a Like Class in the Seed Plan action button.

Note that this only seeds measures that do not include RTV & Inv Adj, as mentioned on Page > Sales & Demand Planning View.",positive
how do you seed a class plan from LY?,"According to FAQ 2 and FAQ 3, you can seed multiple classes with LY data at one time by selecting multiple classes in the Seed Plan Action Button Parameters. Additionally, FAQ 3 also mentions that when seeding from a like class, it is seeding from the plan time frame (WP), which means you can choose to seed from LY/LLY/LLLY/AVG3LY of a Like Class in the Seed Plan action button.

Therefore, the helpful answer would be:

""To seed a class plan from LY, you can select multiple classes at once in the Seed Plan Action Button Parameters. Alternatively, if you're seeding from a like class, you can choose to seed from LY/LLY/LLLY/AVG3LY of that Like Class.""",positive
how to go to Hindsight Review Page?,"According to the context, you can access the Hindsight Review Page by navigating from the following locations:

* Class Plan Workspace > Class Planning Page Group > Hindsight Review Page
* Key Item Plan - Item Workspace > KIP - Style > Hindsight Review (for Product Level)
* Attribute Plan Workspace > Attribute Planning Page Group > Hindsight Review Page",positive
how to go to Hindsight Review Page?,"According to the context, you can navigate to the Hindsight Review Page by following these steps:

* For Class Plan: From the Class Plan Workspace > Class Planning Page Group > Hindsight Review Page
* For Key Item Plan - Style: From the Key Item Plan - Item Workspace > KIP - Style > Hindsight Review
* For Attribute Plan: From the Attribute Plan Workspace > Attribute Planning Page Group > Hindsight Review Page

Let me know if you have any further questions!",positive
What's an Widget?,"I don't know. The provided context does not mention what a ""Widget"" is, only how to work with it (e.g., checking boxes, using arrows, searching, filtering, creating calculated metrics, etc.). It seems that the concept of a ""Widget"" is assumed knowledge and is not defined within this text.",negative
